County,2015,2017
State,1769613,1994845
Carlow,20135,23165
Dublin,477999,527665
Dublin City,223098,241678
South Dublin,87484,97298
Fingal,89909,102793
Dún Laoghaire-Rathdown,77508,85896
Kildare,68840,78794
Kilkenny,34353,39005
Laois,27079,32664
Longford,15868,18823
Louth,45488,51186
Meath,61257,69697
Offaly,27591,30750
Westmeath,32817,36659
Wexford,58970,68143
Wicklow,49088,54351
Clare,48834,55616
Cork,202100,227675
Cork City,51441,55633
Cork County,150659,172042
Kerry,65913,74747
Limerick,75742,82156
Limerick City,23065,26681
Limerick County,52677,55475
North Tipperary,27303,30790
South Tipperary,34206,38184
Waterford,47541,52364
Waterford City,20522,22341
Waterford County,27019,30023
Galway,98326,111177
Galway City,30589,33655
Galway County,67737,77522
Leitrim,15282,18128
Mayo,58717,65792
Roscommon,26979,31585
Sligo,28751,33044
Cavan,28250,33711
Donegal,70526,83918
Monaghan,21658,25056
Leinster,919485,1030902
Munster,501639,561532
Connacht,228055,259726
Ulster (part of),120434,142685